Placement,Placement url,Type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
"Mobile App: My Name Ringtone Maker (Google Play), by Mobi Softech",https://play.google.com/store/apps/details?id=com.phone.caller.ringtone.my.name.ringtone.maker,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Tagged - Meet, Chat & Dating (Google Play), by Ifwe Inc.",https://play.google.com/store/apps/details?id=com.taggedapp,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: DP and Status Video For Whatsapp (Google Play), by Gajrup apps",https://play.google.com/store/apps/details?id=com.sky.editor.dpvideo,Mobile application,1,42,2.38%,USD,0.01,0.01,0.00,0.00,0.00%
mobileapp::2-com.miui.cleanmaster,https://play.google.com/store/apps/details?id=com.miui.cleanmaster,Mobile application,19,567,3.35%,USD,0.01,0.20,0.00,0.00,0.00%
"Mobile App: Magic Jigsaw Puzzles (iTunes App Store), by XIMAD, Inc.",https://itunes.apple.com/us/app/id439873467,Mobile application,0,8,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: StarMaker: Sing free Karaoke, Record music videos (Google Play), by StarMaker Interactive",https://play.google.com/store/apps/details?id=com.starmakerinteractive.starmaker,Mobile application,9,784,1.15%,USD,0.01,0.10,0.00,0.00,0.00%
bollywoodshaadis.com,http://bollywoodshaadis.com,Site,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Kannada typing keyboard -Canarese & Kanarese input (Google Play), by Green Rocket Apps",https://play.google.com/store/apps/details?id=com.KannadaKeyboard.inputmethod.easytyping,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Couple Traditional Photo Suits (Google Play), by Jix Studio",https://play.google.com/store/apps/details?id=com.jixstudio.couple.traditionalps,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: ▻ Solitaire (iTunes App Store), by PeopleFun CG, LLC",https://itunes.apple.com/us/app/id500963785,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: DP and Status 2020 (Google Play), by Approids Tech",https://play.google.com/store/apps/details?id=com.approids.dpstatus,Mobile application,3,2,150.00%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: AMAZE! (Google Play), by Crazy Labs by TabTale",https://play.google.com/store/apps/details?id=com.crazylabs.amaze.game,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: ShareChat - Made in India (Google Play), by ShareChat",https://play.google.com/store/apps/details?id=in.mohalla.sharechat,Mobile application,63,"2,645",2.38%,USD,0.01,0.66,0.00,0.00,0.00%
"Mobile App: ibis Paint X (iTunes App Store), by ibis inc.",https://itunes.apple.com/us/app/id450722833,Mobile application,0,11,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Anandabazar Patrika - Bengali News, Official App (Google Play), by ABP Official App",https://play.google.com/store/apps/details?id=com.anandabazarpatrika,Mobile application,0,66,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Wynk Music - Songs & Downloads (iTunes App Store), by Bharti Airtel Limited",https://itunes.apple.com/us/app/id845083955,Mobile application,0,8,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Lyrical Video Status Maker - VFX Swag Video Status (Google Play), by Woxxin Solution",https://play.google.com/store/apps/details?id=videostatusmaker.lylyvideostatus.lyricalvideo.swagvideo.vfx,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: CamScanner - Scanner to scan PDF (Google Play), by INTSIG Information Co.,Ltd",https://play.google.com/store/apps/details?id=com.intsig.camscanner,Mobile application,2,23,8.70%,USD,0.01,0.02,0.00,0.00,0.00%
jagran.com,http://jagran.com,Site,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: CricLine - Live Scores (Google Play), by Live Cricket Line",https://play.google.com/store/apps/details?id=com.cricket.livescoreline,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
birthdaycake24.com,http://birthdaycake24.com,Site,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: SSC CGL,MTS,CHSL 2020 (Google Play), by Mukesh Kaushik",https://play.google.com/store/apps/details?id=ssc.cgl.chsl.mts,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Fruit Link - Line Blast (Google Play), by FunLink.Studio",https://play.google.com/store/apps/details?id=com.sky.funnyfruitsplash,Mobile application,1,34,2.94%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Bubble Shooter With Friends (Google Play), by sukhavati",https://play.google.com/store/apps/details?id=com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,Mobile application,1,18,5.56%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Pocket Duas (Google Play), by webartdevelopers",https://play.google.com/store/apps/details?id=com.extasis.flipbook,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Sudoku.com - Brain Games (iTunes App Store), by EASYBRAIN LTD",https://itunes.apple.com/us/app/id1193508329,Mobile application,0,38,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Jigsaw Puzzle Collection HD (iTunes App Store), by Veraxen Ltd",https://itunes.apple.com/us/app/id642831690,Mobile application,0,68,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Video Downloader For All TikTok - NO Watermark (Google Play), by Shugal Apps",https://play.google.com/store/apps/details?id=com.Video.Downloader.NO.Watermark,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Wood Block Puzzle (Google Play), by Fast Fun",https://play.google.com/store/apps/details?id=com.fastfun.tetris,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Minni Mouse Photo Stickers (Google Play), by Little Oasis Apps for Kids and Adults",https://play.google.com/store/apps/details?id=com.MinniMousePhotoStickers.CutePhotoEditor,Mobile application,0,14,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Nickname Generator Stylish Text Free & Fire (Google Play), by NYFE.Inc.Studio",https://play.google.com/store/apps/details?id=com.dololow.nicksfreeapps,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter (Google Play), by Happy Dragon Inc.",https://play.google.com/store/apps/details?id=game.bubble.shooter.dragon.pop,Mobile application,2,104,1.92%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Photo frame, Photo collage (Google Play), by ls&la",https://play.google.com/store/apps/details?id=com.lsla.photoframe,Mobile application,0,12,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Face Beauty Makeup (Google Play), by Opeslink",https://play.google.com/store/apps/details?id=com.ol.facemakeupbeauty.faceenhancer,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: photo PIP, photo editor (Google Play), by Smart Photo Editor",https://play.google.com/store/apps/details?id=com.editor.photomaker.pip.camera.collagemaker,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Alarm Stay Awake (Google Play), by Shaaban",https://play.google.com/store/apps/details?id=com.sa_firstappalarm_ne.mun.my_alarm_application,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Bubble Shooter 2 (Google Play), by Bubble Shooter Artworks",https://play.google.com/store/apps/details?id=shooter.two.purple,Mobile application,1,300,0.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Perfect Cream (Google Play), by Playgendary Limited",https://play.google.com/store/apps/details?id=com.playgendary.creamaster,Mobile application,1,2,50.00%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Ultimate Notepad - #1 Notes App with Cloud Sync (Google Play), by Pixatel",https://play.google.com/store/apps/details?id=com.pixatel.apps.notepad,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Song Video Maker-Photo Video Maker (Google Play), by GrowUp Infotech",https://play.google.com/store/apps/details?id=com.jamsco.songvideomakerphotovideomaker,Mobile application,1,18,5.56%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Multiple Accounts:Parallel App (Google Play), by Wang Technology",https://play.google.com/store/apps/details?id=com.excelliance.multiaccounts,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Lep's World 2 🍀🍀 (Google Play), by nerByte GmbH",https://play.google.com/store/apps/details?id=at.ner.lepsWorld2,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Speak and Translate All Languages Voice Translator (Google Play), by Dictionary World11",https://play.google.com/store/apps/details?id=com.speaktranslate.englishalllanguaguestranslator.ivoicetranslation,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Art Number Coloring - Color by Number (Google Play), by Color Joy",https://play.google.com/store/apps/details?id=com.pcoloring.art.puzzle.color.by.number,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: The Messenger App: Free for message & chat (Google Play), by Messenger Family: Free messenger & live video chat",https://play.google.com/store/apps/details?id=messenger.messenger.messanger.messenger,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Drag n Merge: Bubble (iTunes App Store), by Metajoy Limited",https://itunes.apple.com/us/app/id1474446324,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Awabe Translate : Translate All Languages (Google Play), by AWABE",https://play.google.com/store/apps/details?id=com.awabe.aatranslate,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Phone Tracker By Number (Google Play), by Family Locator Inc.",https://play.google.com/store/apps/details?id=mg.locations.track5,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Miami crime simulator (Google Play), by Naxeex LLC",https://play.google.com/store/apps/details?id=com.mgc.miami.crime.simulator,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Story Saver for Instagram - Story Downloader (Google Play), by InShot Inc.",https://play.google.com/store/apps/details?id=storysaverforinstagram.storydownloader.instastorysaver,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Kakoke - sing karaoke, voice recorder, singing app (Google Play), by 9xgeneration",https://play.google.com/store/apps/details?id=com.ninexgen.karaokefull,Mobile application,2,1,200.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Fun Race 3D (iTunes App Store), by Good Job Games Bilisim Yazilim ve Pazarlama AS",https://itunes.apple.com/us/app/id1462556579,Mobile application,0,15,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter (Google Play), by Candy Bubble Studio",https://play.google.com/store/apps/details?id=bubble.shooter.shooting.shoot.game,Mobile application,2,85,2.35%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Bubble Tea! (Google Play), by Dual Cat",https://play.google.com/store/apps/details?id=com.honeyponey.bubbletea,Mobile application,0,36,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Lollipop: Sweet Taste Match 3 (Google Play), by BitMango",https://play.google.com/store/apps/details?id=com.bitmango.go.lollipopmatch3,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: VidStatus indian - Helo Vigo Status Video Download (Google Play), by VidStatus app",https://play.google.com/store/apps/details?id=vidstatus.com,Mobile application,1,20,5.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Bubble Shooter (Google Play), by Shoot Bubble Inc",https://play.google.com/store/apps/details?id=bubble.shooter.pop.pro.free,Mobile application,0,52,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Candy Heroes (Google Play), by Cookie Match Games",https://play.google.com/store/apps/details?id=heroes.candy,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: ASMR Slicing (Google Play), by Crazy Labs by TabTale",https://play.google.com/store/apps/details?id=com.crazylabs.asmr.cut,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Flow Free (Google Play), by Big Duck Games LLC",https://play.google.com/store/apps/details?id=com.bigduckgames.flow,Mobile application,1,30,3.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Tiledom - Matching Games (Google Play), by Spearmint Games",https://play.google.com/store/apps/details?id=games.spearmint.triplecrush,Mobile application,2,98,2.04%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Real Girls Mobile Number (Google Play), by Hurble Life",https://play.google.com/store/apps/details?id=com.lifehurble.controltalkhappy,Mobile application,1,3,33.33%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Match 3D (iTunes App Store), by Loop Games Oyun Teknolojileri Anonim Sirketi",https://itunes.apple.com/us/app/id1502447854,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Video Player All Format - Full HD Video Player (Google Play), by ASD Dev Video Player for All Format",https://play.google.com/store/apps/details?id=com.rocks.music.videoplayer,Mobile application,1,4,25.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Live Talk - free video chat (Google Play), by Videokar",https://play.google.com/store/apps/details?id=com.bingo.livetalk,Mobile application,0,32,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Snake Xenzia (Google Play), by Roman Anisimov",https://play.google.com/store/apps/details?id=com.eskimob.snakexenzia,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Guide and Free Diamonds for Free (Google Play), by App Next Zone",https://play.google.com/store/apps/details?id=appnextstudio.guideforfreediamond.freediamond,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Lovel - FREE Story, Novel & Fiction (Google Play), by iReader Inc.",https://play.google.com/store/apps/details?id=com.zhangyue.read.lovel,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Speak and Translate - Voice Typing with Translator (Google Play), by Innovative World",https://play.google.com/store/apps/details?id=com.speaktranslate.tts.speechtotext.voicetyping.translator,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Payback 2 - The Battle Sandbox (Google Play), by Apex Designs Entertainment Ltd",https://play.google.com/store/apps/details?id=net.apex_designs.payback2,Mobile application,0,13,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Flashlight (Google Play), by SizeMons",https://play.google.com/store/apps/details?id=com.flashlightsuper.tung.flashlight,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Uno Friends (Google Play), by Casual Game Company",https://play.google.com/store/apps/details?id=uno.friends.free.card.ono,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Sudoku Joy -Number Puzzle Game (iTunes App Store), by CHEN HUANG",https://itunes.apple.com/us/app/id1460985516,Mobile application,0,12,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Avast Antivirus – Mobile Security & Virus Cleaner (Google Play), by Avast Software",https://play.google.com/store/apps/details?id=com.avast.android.mobilesecurity,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Video Maker of Photos with Music & Video Editor (Google Play), by VideoShow EnjoyMobi Video Editor & Video Maker Inc",https://play.google.com/store/apps/details?id=com.funcamerastudio.videomaker,Mobile application,2,16,12.50%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: Sort'n Fill (Google Play), by ZPLAY Games",https://play.google.com/store/apps/details?id=com.flexi.sortnfill,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Bubble Shooter Genies (Google Play), by PUZZLEJOY",https://play.google.com/store/apps/details?id=com.linkdesks.bubblegames.bubbleshooter,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: TV9 Marathi (Google Play), by Associated Broadcasting Company Private Limited",https://play.google.com/store/apps/details?id=com.apps.tv9live.tv9marathiliveapp,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Word Search (Google Play), by Melimots",https://play.google.com/store/apps/details?id=com.melimots.WordSearch,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Talking Tom Hero Dash - Run Game (Google Play), by Outfit7 Limited",https://play.google.com/store/apps/details?id=com.outfit7.herodash,Mobile application,1,9,11.11%,USD,0.01,0.01,0.00,0.00,0.00%
mobileapp::10002-ca-app-pub-5522781922210310, --,Mobile application,0,11,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Jump Jump Ball 2020 (Google Play), by swarvski",https://play.google.com/store/apps/details?id=com.helixjump.ball2018,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Couple Photo Suit For Men, Women and Kids (Google Play), by Learning To Smart",https://play.google.com/store/apps/details?id=weddingtraditional.couple.suit,Mobile application,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Beauty Makeup Editor: Selfie Camera, Photo Editor (Google Play), by Lyrebird Studio",https://play.google.com/store/apps/details?id=com.lyrebirdstudio.beauty,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Cam Scanner Advance (Google Play), by Photo Lab - All About Photography",https://play.google.com/store/apps/details?id=com.stepupithub.camscanneradvance,Mobile application,4,13,30.77%,USD,0.01,0.04,0.00,0.00,0.00%
"Mobile App: DC EPaper (iTunes App Store), by deccan chronicle holdings limited",https://itunes.apple.com/us/app/id687659003,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
stackumbrella.com,http://stackumbrella.com,Site,1,3,33.33%,USD,0.01,0.01,0.00,0.00,0.00%
Monkey KAKO,http://youtube.com/channel/UCGGybRX9zaLJL2otvoXrEJg,YouTube channel,2,1,200.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Sudoku World! (iTunes App Store), by MOBIRIX",https://itunes.apple.com/us/app/id999708319,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Word Find - Word Connect Free Offline Word Games (Google Play), by Fantasy Word Games",https://play.google.com/store/apps/details?id=best.word.connect.search.free.offline.puzzle.word.games.world,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
indiatoday.in,http://indiatoday.in,Site,0,15,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Unblock Ball - Block Puzzle (Google Play), by Fun Free Fun",https://play.google.com/store/apps/details?id=roll.unblock.ball.block.puzzle,Mobile application,2,13,15.38%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Photo video maker (Google Play), by video editor maker",https://play.google.com/store/apps/details?id=com.music.videosmaker.editor.photos,Mobile application,1,2,50.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: American Luxury and Sports Cars (Google Play), by DMNK Studio",https://play.google.com/store/apps/details?id=com.DominikKotlarUSALC,Mobile application,0,8,0.00%,USD, --,0.00,0.00,0.00,0.00%
starktimes.com,http://starktimes.com,Site,1,4,25.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Photo Frames (Google Play), by Visu Entertainment",https://play.google.com/store/apps/details?id=bestfreelivewallpapers.new_year_2015_fireworks,Mobile application,3,35,8.57%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: Gallery (Google Play), by gallery",https://play.google.com/store/apps/details?id=photography.blackgallery.android,Mobile application,3,11,27.27%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: Phone + Contacts and Calls (Google Play), by FUG",https://play.google.com/store/apps/details?id=v.d.d.answercall,Mobile application,1,7,14.29%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: fake call video cat game (Google Play), by TenAppsAndGames",https://play.google.com/store/apps/details?id=com.CatFakeVideoCall,Mobile application,2,2,100.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Jigsaw Puzzle (iTunes App Store), by Critical Hit Software",https://itunes.apple.com/us/app/id495583717,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Block Puzzle Guardian - New Block Puzzle Game 2020 (Google Play), by Hippo Lab",https://play.google.com/store/apps/details?id=com.block.puzzle.game.hippo.uc,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Ludo SuperStar (Google Play), by BlackLight Studio Games",https://play.google.com/store/apps/details?id=com.blacklightsw.ludo,Mobile application,7,269,2.60%,USD,0.01,0.08,0.00,0.00,0.00%
"Mobile App: Safe Cleaner Plus (Google Play), by Clean & Save Group",https://play.google.com/store/apps/details?id=fast.boost.cleaner.speed.clean.safe.plus,Mobile application,3,6,50.00%,USD,0.01,0.03,0.00,0.00,0.00%
"Mobile App: Free Totok HD Video Calls Chats advice (Google Play), by Tokor Studio",https://play.google.com/store/apps/details?id=com.videocall.totokhd.procalladvice,Mobile application,3,5,60.00%,USD,0.02,0.05,0.00,0.00,0.00%
"Mobile App: Candy Heroes Legend (iTunes App Store), by yu liu",https://itunes.apple.com/us/app/id1228095197,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Fruits Master : Fruits Match 3 Puzzle (Google Play), by SUPERBOX.INC",https://play.google.com/store/apps/details?id=com.superbox.aos.sweetfruit,Mobile application,1,27,3.70%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Unicorn Zipper Lock Screen Wallpaper (Google Play), by Simpatico Labs",https://play.google.com/store/apps/details?id=com.Simpatico.Unicorn.Zipper.Lock.Screen.Wallpaper,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Man Bike Rider Photo Editor (Google Play), by SoftSquare InfoSoft",https://play.google.com/store/apps/details?id=com.softsquare.man.bike.moto.suit.photo.editor,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: FreeCell Solitaire (Google Play), by Solitaire Card Games , Inc.",https://play.google.com/store/apps/details?id=com.lemongame.freecell.solitaire,Mobile application,0,13,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Top Speed Formula Car Racing: New Car Games 2020 (Google Play), by Mustard Games Studios",https://play.google.com/store/apps/details?id=com.mustardgames.topspeed.formulacar.racinggames,Mobile application,2,4,50.00%,USD,0.01,0.02,0.00,0.00,0.00%
"Mobile App: Color by Number Oil Painting (iTunes App Store), by Veraxen Ltd",https://itunes.apple.com/us/app/id1439776386,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
openit.site,http://openit.site,Site,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Background Eraser (Google Play), by handyCloset Inc.",https://play.google.com/store/apps/details?id=com.handycloset.android.eraser,Mobile application,0,34,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Qatil Ishq-Fatima Hiya Niazi (Google Play), by Changezi",https://play.google.com/store/apps/details?id=apps.bookdroid.QatilIshq,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Princess Baby Shower Party (Google Play), by Sniffy Games",https://play.google.com/store/apps/details?id=com.sniffygames.princessbabyshowerparty,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Status Saver (Google Play), by LaZy GeNiOuZ InC.",https://play.google.com/store/apps/details?id=com.lazygeniouz.saveit,Mobile application,1,85,1.18%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Drop Stack Ball - Fall Helix Blast Crash 3D (Google Play), by Tazkan Games",https://play.google.com/store/apps/details?id=com.match3blaster.DropStackBallFall,Mobile application,1,9,11.11%,USD,0.01,0.01,0.00,0.00,0.00%
rsgio24.com,http://rsgio24.com,Site,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: 2048 (iTunes App Store), by Ketchapp",https://itunes.apple.com/us/app/id840919914,Mobile application,1,1,100.00%,USD,0.02,0.02,0.00,0.00,0.00%
"Mobile App: Love Video Maker : Full Screen Video Status Maker (Google Play), by Video maker lab",https://play.google.com/store/apps/details?id=data.full_screen.love_video.maker,Mobile application,0,7,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: 2048 Charm: Classic & New 2048, Number Puzzle Game (Google Play), by DoPuz Games",https://play.google.com/store/apps/details?id=com.dupuz.game2048.yellow,Mobile application,1,26,3.85%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Fruit Block - Puzzle Legend (Google Play), by Legend Game Inc.",https://play.google.com/store/apps/details?id=com.fruitheroes.legend,Mobile application,0,11,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Happy Fruit Blast (iTunes App Store), by Yutao Liu",https://itunes.apple.com/us/app/id1208907397,Mobile application,0,6,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Frame (Google Play), by Cheer Up Studio",https://play.google.com/store/apps/details?id=com.CheerUp.frame,Mobile application,0,22,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Carrom Royal - Multiplayer Carrom Board Pool Game (Google Play), by ButterBox Games",https://play.google.com/store/apps/details?id=com.butterboxgames.carrom.multiplayer,Mobile application,0,11,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Camera Selfie: Selfie Beauty Camera & Photo Editor (Google Play), by Cute Wallpapers Studio",https://play.google.com/store/apps/details?id=com.thmobile.catcamera,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Bubble Shooter (Google Play), by retooldirox",https://play.google.com/store/apps/details?id=com.mastercarryheat.straw,Mobile application,0,19,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: WallPapers from Micromax (Google Play), by Micromax Informatics",https://play.google.com/store/apps/details?id=com.micromaxinfo.wallpapers,Mobile application,0,8,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Rescue Cut - Rope Puzzle (Google Play), by F.I.L Games",https://play.google.com/store/apps/details?id=com.app.rescuecut,Mobile application,1,36,2.78%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Manorama Online News App - Malayala Manorama (Google Play), by Malayala Manorama Co. Ltd.",https://play.google.com/store/apps/details?id=com.online.AndroidManorama,Mobile application,0,54,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: Paint.ly: Color by Number Game (iTunes App Store), by PICFUN TECH LIMITED",https://itunes.apple.com/us/app/id1441501929,Mobile application,0,5,0.00%,USD, --,0.00,0.00,0.00,0.00%
"Mobile App: ManSmart : Man Photo Editor, Hair Style, Mustache (Google Play), by Bhalerao Apps Developer",https://play.google.com/store/apps/details?id=com.menphotoeditor.beard.menmustachephotosuit,Mobile application,1,8,12.50%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Free Video Downloader - Video Downloader App (Google Play), by Simple Design Ltd.",https://play.google.com/store/apps/details?id=free.video.downloader.freevideodownloader,Mobile application,1,1,100.00%,USD,0.01,0.01,0.00,0.00,0.00%
"Mobile App: Photo On Cake 2020 : Birthday Cake Pics Editor (Google Play), by XEN Studios",https://play.google.com/store/apps/details?id=com.xenstudio.birthdaycake.photoframe,Mobile application,2,5,40.00%,USD,0.01,0.02,0.00,0.00,0.00%
republicworld.com,http://republicworld.com,Site,2,15,13.33%,USD,0.01,0.02,0.00,0.00,0.00%
